tld,region_bucket,unique_fqdn_count,domain_occurrences
.foo,Other/unknown,19,71
.kitchen,Other/unknown,19,64
.markets,Other/unknown,19,98
.miami,Other/unknown,19,42
.na,Other/unknown,19,61
.ngo,Other/unknown,19,73
.wales,Other/unknown,19,51
.xn--p1acf,Other/unknown,19,53
.apartments,Other/unknown,18,52
.bj,Other/unknown,18,44
.contact,Other/unknown,18,86
.express,Other/unknown,18,68
.game,Other/unknown,18,65
.graphics,Other/unknown,18,70
.jo,Other/unknown,18,63
.trading,Other/unknown,18,50
.you,Other/unknown,18,74
.date,Other/unknown,17,55
.deals,Other/unknown,17,63
.doctor,Other/unknown,17,54
.enterprises,Other/unknown,17,61
.gifts,Other/unknown,17,66
.motorcycles,Other/unknown,17,60
.taxi,Other/unknown,17,50
.zm,Other/unknown,17,52
.black,Other/unknown,16,66
.builders,Other/unknown,16,39
.cheap,Other/unknown,16,37
.faith,Other/unknown,16,68
.film,Other/unknown,16,41
.fish,Other/unknown,16,43
.holdings,Other/unknown,16,41
.jobs,Other/unknown,16,35
.kim,Other/unknown,16,74
.properties,Other/unknown,16,39
.boo,Other/unknown,15,50
.cab,Other/unknown,15,37
.cymru,Other/unknown,15,41
.fitness,Other/unknown,15,53
.hosting,Other/unknown,15,49
.ist,Other/unknown,15,99
.kiwi,Other/unknown,15,57
.lgbt,Other/unknown,15,51
.limited,Other/unknown,15,35
.living,Other/unknown,15,73
.mm,Other/unknown,15,30
.tirol,Other/unknown,15,38
.vote,Other/unknown,15,58
.boston,Other/unknown,14,36
.ceo,Other/unknown,14,43
.construction,Other/unknown,14,33
.free,Other/unknown,14,79
.gl,Other/unknown,14,36
.healthcare,Other/unknown,14,37
.hiphop,Other/unknown,14,25
.pictures,Other/unknown,14,44
.recipes,Other/unknown,14,52
.restaurant,Other/unknown,14,38
.tienda,Other/unknown,14,61
.wedding,Other/unknown,14,35
.xn--4dbrk0ce,Other/unknown,14,47
.allfinanz,Other/unknown,13,50
.bargains,Other/unknown,13,36
.careers,Other/unknown,13,36
.glass,Other/unknown,13,41
.jetzt,Other/unknown,13,30
.ky,Other/unknown,13,60
.mortgage,Other/unknown,13,28
.nagoya,Other/unknown,13,48
.nf,Other/unknown,13,45
.parts,Other/unknown,13,33
.poker,Other/unknown,13,59
.shopping,Other/unknown,13,55
.tattoo,Other/unknown,13,35
.tm,Other/unknown,13,47
.xn--90ae,Other/unknown,13,55
.xn--90ais,Other/unknown,13,43
.dad,Other/unknown,12,55
.dentist,Other/unknown,12,34
.dj,Other/unknown,12,29
.gy,Other/unknown,12,32
.kw,Other/unknown,12,37
.luxury,Other/unknown,12,41
.paris,Other/unknown,12,39
.pg,Other/unknown,12,46
.ski,Other/unknown,12,48
.soy,Other/unknown,12,39
.vg,Other/unknown,12,41
.bank,Other/unknown,11,18
.broker,Other/unknown,11,35
.cpa,Other/unknown,11,31
.deal,Other/unknown,11,41
.gratis,Other/unknown,11,24
.kids,Other/unknown,11,20
.lawyer,Other/unknown,11,28
.lighting,Other/unknown,11,30
.xn--h2brj9c,Other/unknown,11,30
.xn--j6w193g,Other/unknown,11,36
.creditcard,Other/unknown,10,26
.mr,Other/unknown,10,18
.porn,Other/unknown,10,29
.quebec,Other/unknown,10,16
.ruhr,Other/unknown,10,15
.sy,Other/unknown,10,13
.tg,Other/unknown,10,53
.vegas,Other/unknown,10,50
.wf,Other/unknown,10,22
.auction,Other/unknown,9,48
.bm,Other/unknown,9,19
.college,Other/unknown,9,43
.corsica,Other/unknown,9,23
.diy,Other/unknown,9,36
.football,Other/unknown,9,15
.gent,Other/unknown,9,23
.kn,Other/unknown,9,13
.limo,Other/unknown,9,38
.movie,Other/unknown,9,28
.radio,Other/unknown,9,16
.realtor,Other/unknown,9,29
.spot,Other/unknown,9,29
.storage,Other/unknown,9,21
.yokohama,Other/unknown,9,46
.camera,Other/unknown,8,21
.fail,Other/unknown,8,10
.mov,Other/unknown,8,19
.mw,Other/unknown,8,31
.okinawa,Other/unknown,8,23
.realestate,Other/unknown,8,16
.salon,Other/unknown,8,25
.security,Other/unknown,8,19
.tube,Other/unknown,8,29
.xn--80aswg,Other/unknown,8,15
.archi,Other/unknown,7,10
.bf,Other/unknown,7,13
.christmas,Other/unknown,7,25
.claims,Other/unknown,7,29
.exposed,Other/unknown,7,20
.forex,Other/unknown,7,27
.ga,Other/unknown,7,33
.gift,Other/unknown,7,20
.gives,Other/unknown,7,31
.gm,Other/unknown,7,18
.how,Other/unknown,7,16
.ls,Other/unknown,7,20
.melbourne,Other/unknown,7,18
.memorial,Other/unknown,7,47
.mobile,Other/unknown,7,19
.moda,Other/unknown,7,36
.pr,Other/unknown,7,14
.racing,Other/unknown,7,24
.saarland,Other/unknown,7,12
.shoes,Other/unknown,7,15
.singles,Other/unknown,7,23
.surgery,Other/unknown,7,13
.toys,Other/unknown,7,34
.vlaanderen,Other/unknown,7,11
.vodka,Other/unknown,7,23
.actor,Other/unknown,6,18
.amazon,Other/unknown,6,41
.associates,Other/unknown,6,18
.charity,Other/unknown,6,14
.forsale,Other/unknown,6,10
.futbol,Other/unknown,6,20
.ht,Other/unknown,6,16
.jewelry,Other/unknown,6,11
.luxe,Other/unknown,6,11
.mc,Europe ccTLD,6,19
.ni,Other/unknown,6,15
.property,Other/unknown,6,23
.rodeo,Other/unknown,6,19
.sb,Other/unknown,6,20
.sm,Europe ccTLD,6,13
.sucks,Other/unknown,6,6
.sydney,Other/unknown,6,12
.tl,Other/unknown,6,24
.webcam,Other/unknown,6,20
.xn--6frz82g,Other/unknown,6,28
.xn--d1acj3b,Other/unknown,6,11
.attorney,Other/unknown,5,7
.barcelona,Other/unknown,5,14
.bible,Other/unknown,5,16
.bingo,Other/unknown,5,21
.bt,Other/unknown,5,7
.capetown,Other/unknown,5,12
.career,Other/unknown,5,10
.cg,Other/unknown,5,5
.contractors,Other/unknown,5,25
.coupons,Other/unknown,5,17
.fast,Other/unknown,5,12
.hamburg,Other/unknown,5,12
.immobilien,Other/unknown,5,18
.investments,Other/unknown,5,10
.kaufen,Other/unknown,5,14
.krd,Other/unknown,5,10
.loans,Other/unknown,5,18
.lr,Other/unknown,5,10
.madrid,Other/unknown,5,9
.pfizer,Other/unknown,5,6
.realty,Other/unknown,5,12
.rsvp,Other/unknown,5,10
.vacations,Other/unknown,5,13
.voyage,Other/unknown,5,10
.xn--j1amh,Other/unknown,5,10
.accountants,Other/unknown,4,16
.adult,Other/unknown,4,5
.auto,Other/unknown,4,9
.box,Other/unknown,4,12
.degree,Other/unknown,4,18
.equipment,Other/unknown,4,12
.esq,Other/unknown,4,8
.florist,Other/unknown,4,17
.furniture,Other/unknown,4,5
.globo,Other/unknown,4,15
.gp,Other/unknown,4,18
.hospital,Other/unknown,4,10
.ong,Other/unknown,4,24
.phd,Other/unknown,4,16
.soccer,Other/unknown,4,10
.ss,Other/unknown,4,18
.statefarm,Other/unknown,4,8
.taipei,Other/unknown,4,16
.uol,Other/unknown,4,6
.xn--90a3ac,Other/unknown,4,4
.xn--fjq720a,Other/unknown,4,8
.xn--qxam,Other/unknown,4,8
.xn--unup4y,Other/unknown,4,8
.basketball,Other/unknown,3,14
.bmw,Other/unknown,3,15
.car,Other/unknown,3,12
.catering,Other/unknown,3,9
.channel,Other/unknown,3,6
.cologne,Other/unknown,3,8
.cooking,Other/unknown,3,8
.credit,Other/unknown,3,6
.cw,Other/unknown,3,8
.diamonds,Other/unknown,3,3
.diet,Other/unknown,3,6
.discount,Other/unknown,3,12
.gf,Other/unknown,3,18
.gripe,Other/unknown,3,9
.lease,Other/unknown,3,18
.mo,Other/unknown,3,5
.nr,Other/unknown,3,5
.organic,Other/unknown,3,4
.plumbing,Other/unknown,3,10
.rehab,Other/unknown,3,10
.reisen,Other/unknown,3,8
.sd,Other/unknown,3,7
.shiksha,Other/unknown,3,9
.villas,Other/unknown,3,14
.xn--kpry57d,Other/unknown,3,15
.xn--mk1bu44c,Other/unknown,3,24
.xn--q9jyb4c,Other/unknown,3,9
.ye,Other/unknown,3,6
.abudhabi,Other/unknown,2,4
.accountant,Other/unknown,2,11
.alsace,Other/unknown,2,6
.aq,Other/unknown,2,2
.ck,Other/unknown,2,12
.compare,Other/unknown,2,22
.crs,Other/unknown,2,24
.cruises,Other/unknown,2,5
.dm,Other/unknown,2,8
.firmdale,Other/unknown,2,4
.fishing,Other/unknown,2,12
.flowers,Other/unknown,2,7
.google,Other/unknown,2,12
.gu,Other/unknown,2,2
.gw,Other/unknown,2,7
.istanbul,Other/unknown,2,3
.med,Other/unknown,2,3
.mlb,Other/unknown,2,2
.mq,Other/unknown,2,5
.ne,Other/unknown,2,11
.osaka,Other/unknown,2,3
.pharmacy,Other/unknown,2,7
.rich,Other/unknown,2,16
.sarl,Other/unknown,2,3
.select,Other/unknown,2,10
.sl,Other/unknown,2,14
.spa,Other/unknown,2,4
.td,Other/unknown,2,6
.tickets,Other/unknown,2,2
.tires,Other/unknown,2,7
.versicherung,Other/unknown,2,8
.vi,Other/unknown,2,2
.xn--3e0b707e,Other/unknown,2,8
.xn--6qq986b3xl,Other/unknown,2,7
.xn--fiqz9s,Other/unknown,2,4
.xn--ses554g,Other/unknown,2,6
.xn--t60b56a,Other/unknown,2,4
.xn--y9a3aq,Other/unknown,2,7
.zuerich,Other/unknown,2,5
._none,Other/unknown,1,2
.abogado,Other/unknown,1,6
.airforce,Other/unknown,1,2
.apple,Other/unknown,1,1
.aw,Other/unknown,1,6
.bb,Other/unknown,1,3
.blackfriday,Other/unknown,1,1
.bn,Other/unknown,1,6
.bs,Other/unknown,1,1
.canon,Other/unknown,1,2
.cars,Other/unknown,1,1
.cleaning,Other/unknown,1,6
.country,Other/unknown,1,4
.crown,Other/unknown,1,2
.democrat,Other/unknown,1,4
.desi,Other/unknown,1,8
.durban,Other/unknown,1,1
.flights,Other/unknown,1,1
.fox,Other/unknown,1,2
.gi,Europe ccTLD,1,1
.hm,Other/unknown,1,2
.holiday,Other/unknown,1,8
.jm,Other/unknown,1,2
.joburg,Other/unknown,1,2
.juegos,Other/unknown,1,2
.ki,Other/unknown,1,2
.kred,Other/unknown,1,7
.kyoto,Other/unknown,1,6
.lego,Other/unknown,1,2
.lotto,Other/unknown,1,1
.maison,Other/unknown,1,7
.moi,Other/unknown,1,1
.ntt,Other/unknown,1,1
.physio,Other/unknown,1,6
.politie,Other/unknown,1,1
.republican,Other/unknown,1,1
.ryukyu,Other/unknown,1,6
.schaeffler,Other/unknown,1,1
.schmidt,Other/unknown,1,3
.schwarz,Other/unknown,1,1
.shell,Other/unknown,1,1
.sport,Other/unknown,1,2
.supplies,Other/unknown,1,6
.suzuki,Other/unknown,1,3
.tennis,Other/unknown,1,1
.theater,Other/unknown,1,3
.theatre,Other/unknown,1,8
.total,Other/unknown,1,1
.toyota,Other/unknown,1,3
.xn--54b7fta0cc,Other/unknown,1,1
.xn--55qx5d,Other/unknown,1,12
.xn--5tzm5g,Other/unknown,1,2
.xn--gecrj9c,Other/unknown,1,3
.xn--h2brj9c8c,Other/unknown,1,2
.xn--i1b6b1a6a2e,Other/unknown,1,4
.xn--io0a7i,Other/unknown,1,10
.xn--mgbab2bd,Other/unknown,1,8
.xn--mgbai9azgqp6j,Other/unknown,1,8
.xn--node,Other/unknown,1,4
.xn--tckwe,Other/unknown,1,4
.xn--xkc2al3hye2a,Other/unknown,1,2
.yun,Other/unknown,1,2
